gender,age_in_months,measure_type,l,m,s
F,1,wflh,1.0,4.42,0.356
F,2,lhfa,1.0,57.15,0.0715
F,2,wfa,1.0,5.42,0.3225
F,2,wflh,1.0,5.42,0.3225
F,3,lhfa,1.0,59.83,0.0693
F,3,wfa,1.0,6.32,0.2986
F,3,wflh,1.0,6.32,0.2986
F,4,lhfa,1.0,62.29,0.0697
F,4,wfa,1.0,6.8,0.293
F,4,wflh,1.0,6.8,0.293
F,5,lhfa,1.0,64.16,0.0699
F,5,wfa,1.0,7.38,0.2843
F,5,wflh,1.0,7.38,0.2843
F,6,lhfa,1.0,65.74,0.0685
F,6,wfa,1.0,7.78,0.2781
F,6,wflh,1.0,7.78,0.2781
F,7,lhfa,1.0,67.13,0.0681
F,7,wfa,1.0,8.21,0.2706
F,7,wflh,1.0,8.21,0.2706
F,8,lhfa,1.0,68.69,0.0683
F,8,wfa,1.0,8.51,0.2675
F,8,wflh,1.0,8.51,0.2675
F,9,lhfa,1.0,70.0,0.0674
F,9,wfa,1.0,8.82,0.2647
F,9,wflh,1.0,8.82,0.2647
F,10,lhfa,1.0,71.49,0.0691
F,10,wfa,1.0,9.06,0.2721
F,10,wflh,1.0,9.06,0.2721
F,11,lhfa,1.0,72.79,0.0682
F,11,wfa,1.0,9.52,0.2604
F,11,wflh,1.0,9.52,0.2604
F,12,lhfa,1.0,74.09,0.0676
F,12,wfa,1.0,9.65,0.2629
F,12,wflh,1.0,9.65,0.2629
F,13,lhfa,1.0,75.11,0.0684
F,13,wfa,1.0,9.9,0.2639
F,13,wflh,1.0,9.9,0.2639
F,14,lhfa,1.0,76.45,0.0674
F,14,wfa,1.0,10.08,0.2592
F,14,wflh,1.0,10.08,0.2592
F,15,lhfa,1.0,77.52,0.0691
F,15,wfa,1.0,10.48,0.2584
F,15,wflh,1.0,10.48,0.2584
F,16,lhfa,1.0,78.82,0.0696
F,16,wfa,1.0,10.5,0.2557
F,16,wflh,1.0,10.5,0.2557
F,17,lhfa,1.0,79.65,0.0707
F,17,wfa,1.0,10.8,0.2554
F,17,wflh,1.0,10.8,0.2554
F,18,lhfa,1.0,80.74,0.069
F,18,wfa,1.0,11.03,0.2488
F,18,wflh,1.0,11.03,0.2488
F,19,lhfa,1.0,81.57,0.0694
F,19,wfa,1.0,11.1,0.2517
F,19,wflh,1.0,11.1,0.2517
F,20,lhfa,1.0,82.76,0.0686
F,20,wfa,1.0,11.32,0.246
F,20,wflh,1.0,11.32,0.246
F,21,lhfa,1.0,83.82,0.0705
F,21,wfa,1.0,11.55,0.2499
F,21,wflh,1.0,11.55,0.2499
F,22,lhfa,1.0,84.48,0.0713
F,22,wfa,1.0,11.72,0.2412
F,22,wflh,1.0,11.72,0.2412
F,23,lhfa,1.0,85.69,0.0706
F,23,wfa,1.0,11.94,0.2444
F,23,wflh,1.0,11.94,0.2444
F,24,lhfa,1.0,85.92,0.0726
F,24,wfa,1.0,12.21,0.2418
F,24,wflh,1.0,12.21,0.2418
F,25,lhfa,1.0,86.16,0.04
F,25,wfa,1.0,11.9,0.2477
F,25,wflh,1.0,11.9,0.2477
F,26,lhfa,1.0,86.16,0.04
F,26,wfa,1.0,11.9,0.2477
F,26,wflh,1.0,11.9,0.2477
F,27,lhfa,1.0,86.16,0.04
F,27,wfa,1.0,11.9,0.2477
F,27,wflh,1.0,11.9,0.2477
F,28,lhfa,1.0,86.16,0.04
F,28,wfa,1.0,11.9,0.2477
F,28,wflh,1.0,11.9,0.2477
F,29,lhfa,1.0,86.16,0.04
F,29,wfa,1.0,11.9,0.2477
F,29,wflh,1.0,11.9,0.2477
F,30,lhfa,1.0,86.16,0.04
F,30,wfa,1.0,11.9,0.2477
F,30,wflh,1.0,11.9,0.2477
F,31,lhfa,1.0,86.16,0.04
F,31,wfa,1.0,11.9,0.2477
F,31,wflh,1.0,11.9,0.2477
F,32,lhfa,1.0,86.16,0.04
F,32,wfa,1.0,11.9,0.2477
F,32,wflh,1.0,11.9,0.2477
F,33,lhfa,1.0,86.16,0.04
F,33,wfa,1.0,11.9,0.2477
F,33,wflh,1.0,11.9,0.2477
F,34,lhfa,1.0,86.16,0.04
F,34,wfa,1.0,11.9,0.2477
F,34,wflh,1.0,11.9,0.2477
F,35,lhfa,1.0,86.16,0.04
F,35,wfa,1.0,11.9,0.2477
F,35,wflh,1.0,11.9,0.2477
F,36,lhfa,1.0,86.16,0.04
F,36,wfa,1.0,11.9,0.2477
F,36,wflh,1.0,11.9,0.2477
F,37,lhfa,1.0,86.16,0.04
F,37,wfa,1.0,11.9,0.2477
F,37,wflh,1.0,11.9,0.2477
F,38,lhfa,1.0,86.16,0.04
F,38,wfa,1.0,11.9,0.2477
F,38,wflh,1.0,11.9,0.2477
F,39,lhfa,1.0,86.16,0.04
F,39,wfa,1.0,11.9,0.2477
F,39,wflh,1.0,11.9,0.2477
F,40,lhfa,1.0,86.16,0.04
F,40,wfa,1.0,11.9,0.2477
F,40,wflh,1.0,11.9,0.2477
F,41,lhfa,1.0,86.16,0.04
F,41,wfa,1.0,11.9,0.2477
F,41,wflh,1.0,11.9,0.2477
F,42,lhfa,1.0,86.16,0.04
F,42,wfa,1.0,11.9,0.2477
F,42,wflh,1.0,11.9,0.2477
F,43,lhfa,1.0,86.16,0.04
F,43,wfa,1.0,11.9,0.2477
F,43,wflh,1.0,11.9,0.2477
F,44,lhfa,1.0,86.16,0.04
F,44,wfa,1.0,11.9,0.2477
F,44,wflh,1.0,11.9,0.2477
F,45,lhfa,1.0,86.16,0.04
F,45,wfa,1.0,11.9,0.2477
F,45,wflh,1.0,11.9,0.2477
F,46,lhfa,1.0,86.16,0.04
F,46,wfa,1.0,11.9,0.2477
F,46,wflh,1.0,11.9,0.2477
F,47,lhfa,1.0,86.16,0.04
F,47,wfa,1.0,11.9,0.2477
F,47,wflh,1.0,11.9,0.2477
F,48,lhfa,1.0,86.16,0.04
F,48,wfa,1.0,11.9,0.2477
F,48,wflh,1.0,11.9,0.2477
F,49,lhfa,1.0,86.16,0.04
F,49,wfa,1.0,11.9,0.2477
F,49,wflh,1.0,11.9,0.2477
F,50,lhfa,1.0,86.16,0.04
F,50,wfa,1.0,11.9,0.2477
F,50,wflh,1.0,11.9,0.2477
F,51,lhfa,1.0,86.16,0.04
F,51,wfa,1.0,11.9,0.2477
F,51,wflh,1.0,11.9,0.2477
F,52,lhfa,1.0,86.16,0.04
F,52,wfa,1.0,11.9,0.2477
F,52,wflh,1.0,11.9,0.2477
F,53,lhfa,1.0,86.16,0.04
F,53,wfa,1.0,11.9,0.2477
F,53,wflh,1.0,11.9,0.2477
F,54,lhfa,1.0,86.16,0.04
F,54,wfa,1.0,11.9,0.2477
F,54,wflh,1.0,11.9,0.2477
F,55,lhfa,1.0,86.16,0.04
F,55,wfa,1.0,11.9,0.2477
F,55,wflh,1.0,11.9,0.2477
F,56,lhfa,1.0,86.16,0.04
F,56,wfa,1.0,11.9,0.2477
F,56,wflh,1.0,11.9,0.2477
F,57,lhfa,1.0,86.16,0.04
F,57,wfa,1.0,11.9,0.2477
F,57,wflh,1.0,11.9,0.2477
F,58,lhfa,1.0,86.16,0.04
F,58,wfa,1.0,11.9,0.2477
F,58,wflh,1.0,11.9,0.2477
F,59,lhfa,1.0,86.16,0.04
F,59,wfa,1.0,11.9,0.2477
F,59,wflh,1.0,11.9,0.2477
F,60,lhfa,1.0,86.16,0.04
F,60,wfa,1.0,11.9,0.2477
F,60,wflh,1.0,11.9,0.2477
